"id","book_title","author"
"5529","Skeleton Man (Skeleton Man, #1)","Joseph Bruchac"
"5530","A Skeleton Key to Finnegans Wake: Unlocking James Joyce's Masterwork","Joseph Campbell"
"5531","The Ghost at Skeleton Rock (Hardy Boys, #37)","Franklin W. Dixon"
"5532","Samalio Pardulus","Otto Julius Bierbaum"
"5533","Zanoni","Edward Bulwer-Lytton"
"5534","Black Magic","Marjorie Bowen"
"5535","La Vampire","Paul F�val p�re"
"5536","The Shadow Of Ashlydyat","Mrs. Henry Wood"
"5537","Tales of Superstition and Chivalry","Anne Bannerman"
"5538","Vampire Stories","Arthur Conan Doyle"
"5539","Tales of the Alhambra","Washington Irving"
"5540","Elizabeth","Jessica  Hamilton"
"5541","Literature and Its Writers: A Compact Introduction to Fiction, Poetry, and Drama","Ann Charters"
"5542","Nothing Lasts Forever","Sidney Sheldon"
"5543","Succubus Shadows (Georgina Kincaid, #5)","Richelle Mead"
"5544","Flame in the Mist (Flame in the Mist, #1)","Ren�e Ahdieh"
"5545","The Marbled Swarm","Dennis Cooper"
"5546","Manifesto of the Free People's Union","Jakub Lasak"
"5547","The Four Winds","Kristin Hannah"
"5548","The Struggle (The Vampire Diaries, #2)","L.J. Smith"
"5549","The Mortal Instruments (The Mortal Instruments, #1-4)","Cassandra Clare"
"5550","The Fixer","Bernard Malamud"
"5551","Marriage for One","Ella Maise"
"5552","Death on the Installment Plan","Louis-Ferdinand C�line"
"5553","Romancing Mister Bridgerton (Bridgertons, #4)","Julia Quinn"
"5554","Underworld: Evolution (Underworld, #3)","Greg Cox"
"5555","The Dollmaker","Harriette Simpson Arnow"
"5556","Magic Kingdom for Sale/Sold (Magic Kingdom of Landover, #1)","Terry Brooks"
"5557","Falls the Shadow  (Welsh Princes, #2)","Sharon Kay Penman"
"5558","Halo: The Fall of Reach","Eric S. Nylund"
"5559","And Afterward, the Dark: Seven Tales","Basil Copper"
"5560","Alex, Approximately","Jenn Bennett"
"5561","How to Avoid Huge Ships","John W. Trimmer"
"5562","Because of Low (Sea Breeze, #2)","Abbi Glines"
"5563","The Warmth of Other Suns: The Epic Story of America's Great Migration","Isabel Wilkerson"
"5564","????? ???","Huda Aweys"
"5565","Play It As It Lays","Joan Didion"
"5566","Third Grave Dead Ahead (Charley Davidson, #3)","Darynda Jones"
"5567","Akira, Vol. 1","Katsuhiro Otomo"
"5568","The Cartel (Power of the Dog, #2)","Don Winslow"
"5569","Adjustment Day","Chuck Palahniuk"
"5571","Manacled","SenLinYu"
"5572","Blindness","Jos� Saramago"
"5573","Moominpappa at Sea (The Moomins, #8)","Tove Jansson"
"5574","Shards of Honour  (Vorkosigan Saga, #1)","Lois McMaster Bujold"
"5575","Hidden (Marchwood Vampires, #1)","Shalini Boland"
"5576","The Happiness Hypothesis: Finding Modern Truth in Ancient Wisdom","Jonathan Haidt"
"5577","The Miseducation of Cameron Post","Emily M. Danforth"
"5578","Death Bringer (Skulduggery Pleasant, #6)","Derek Landy"
"5579","Forward the Foundation (Foundation: Prequel #2)","Isaac Asimov"
"5580","Faithful Place (Dublin Murder Squad, #3)","Tana French"
"5581","The Collected Ghost Stories of E.F. Benson","E.F. Benson"
"5582","Spin the Dawn (The Blood of Stars, #1)","Elizabeth Lim"
"5583","Females of Valor (The Viking's Kurdish Love, #2)","Widad Akreyi"
"5584","Zoroastrians' Fight for Survival (The Viking's Kurdish Love, #1)","Widad Akreyi"
"5585","Nana, Vol. 1","Ai Yazawa"
"5586","Coinman: An Untold Conspiracy","Pawan Mishra"
"5587","Tintin in Tibet (Tintin #20)","Herg�"
"5588","Things Not Seen (Things, #1)","Andrew Clements"
"5589","Everneath (Everneath, #1)","Brodi Ashton"
"5590","Numbers (Numbers, #1)","Rachel Ward"
"5591","The Mysterious Affair at Styles (Hercule Poirot, #1)","Agatha Christie"
"5592","Se questo � un uomo","Primo Levi"
"5593","Debt of Honor (Jack Ryan, #7)","Tom Clancy"
"5594","Justice (New Species, #4)","Laurann Dohner"
"5595","Thunderhead (Nora Kelly, #0A)","Douglas Preston"
"5596","Fighting Destiny (The Fae Chronicles, #1)","Amelia Hutchins"
"5597","Q & A","Vikas Swarup"
"5599","The Twilight Saga: The Official Illustrated Guide","Stephenie Meyer"
"5600","Airframe","Michael Crichton"
"5601","The Penderwicks on Gardam Street (The Penderwicks, #2)","Jeanne Birdsall"
"5602","Snuff (Discworld, #39; City Watch, #8)","Terry Pratchett"
"5603","She: A History of Adventure (She, #1)","H. Rider Haggard"
"5604","Tales from Earthsea (Earthsea Cycle, #5)","Ursula K. Le Guin"
"5605","Worlds Collide (The Land of Stories, #6)","Chris Colfer"
"5606","Gris Ange 2014","Lucio Agustine Rosenkreutz Cr?ciunescu"
"5607","Starman Jones","Robert A. Heinlein"
"5608","Life Among the Savages","Shirley Jackson"
"5609","Tears of the Silenced","Misty Griffin"
"5611","Charlie and the Great Glass Elevator (Charlie Bucket, #2)","Roald Dahl"
"5612","While It Lasts (Sea Breeze, #3)","Abbi Glines"
"5613","Price of a Kiss (Forbidden Men, #1)","Linda Kage"
"5614","Without Merit","Colleen Hoover"
"5615","The Daughter Of Kurdland: A Life Dedicated to Humankind","Widad Akreyi"
"5616","The Balance of Time (Time Chain #2)","Steven Decker"
"5617","The Seven Spiritual Laws of Success: A Practical Guide to the Fulfillment of Your Dreams","Deepak Chopra"
"5618","The Burning Land (The Saxon Stories, #5)","Bernard Cornwell"
"5619","The Autobiography of Alice B. Toklas","Gertrude Stein"
"5620","The World of Divergent: The Path to Allegiant (Divergent, #2.5)","Veronica Roth"
"5621","Tractatus Logico-Philosophicus","Ludwig Wittgenstein"
"5622","Cause of Death (Kay Scarpetta, #7)","Patricia Cornwell"
"5623","Deeper Than Midnight (Midnight Breed, #9)","Lara Adrian"
"5624","Immortal Matchmakers, Inc. (Immortal Matchmakers, Inc., #1)","Mimi Jean Pamfiloff"
"5625","Coeur pourri de laine","Lucio Agustine Rosenkreutz Cr?ciunescu"
"5626","Night Angels","Weina Dai Randel"
"5627","Armor","John Steakley"
"5628","Play (Stage Dive, #2)","Kylie Scott"
"5629","The Notebook, The Proof, The Third Lie: Three Novels","�gota Krist�f"
"5630","Extreme Measures (Mitch Rapp, #11)","Vince Flynn"
"5631","From a Buick 8","Stephen King"
"5632","Sawkill Girls","Claire Legrand"
"5633","A Little Pinprick (Rainey Paxton, #1)","Paige Dearth"
"5634","The Sandman, Vol. 6: Fables & Reflections","Neil Gaiman"
"5635","????? ?? ???? ??? ???????","????? ?????"
"5636","The Complete Poems","William Blake"
"5637","The Public Burning","Robert Coover"
"5638","The Rocker That Needs Me (The Rocker, #3)","Terri Anne Browning"
"5639","Gregor and the Curse of the Warmbloods (Underland Chronicles, #3)","Suzanne Collins"
"5640","Hard Rain Falling","Don Carpenter"
"5641","Das geheimnis der blumen","Mykhaella Caponi"
"5642","The Bird's Nest","Shirley Jackson"
"5643","March: Book One (March, #1)","John             Lewis"
"5644","Under Heaven (Under Heaven, #1)","Guy Gavriel Kay"
"5645","The Book of Disquiet","Fernando Pessoa"
"5646","The Night Manager","John le Carr�"
"5647","Resurrection (Wicked, #5)","Nancy Holder"
"5648","The Will (Magdalene, #1)","Kristen Ashley"
"5649","Her Body and Other Parties: Stories","Carmen Maria Machado"
"5650","One Step Behind  (Kurt Wallander, #7)","Henning Mankell"
"5651","The Border Trilogy: All the Pretty Horses, The Crossing, Cities of the Plain","Cormac McCarthy"
"5652","Dog Days (Diary of a Wimpy Kid, #4)","Jeff Kinney"
"5653","The Dice Man","Luke Rhinehart"
"5654","Beautiful Oblivion (The Maddox Brothers, #1)","Jamie McGuire"
"5655","House of Salt and Sorrows (Sisters of the Salt, #1)","Erin A. Craig"
"5656","Father and I Were Ranchers (Little Britches, #1)","Ralph Moody"
"5657","The Wednesday Wars","Gary D. Schmidt"
"5658","Scat","Carl Hiaasen"
"5659","All Around the Town","Mary Higgins Clark"
"5660","Valiant (Modern Faerie Tales, #2)","Holly Black"
"5661","Between","Jessica Warman"
"5662","Fallout: Equestria","kkat"
"5663","De brief voor de koning (De brief voor de koning, #1)","Tonke Dragt"
"5664","Archer's Goon","Diana Wynne Jones"
"5665","Forever Princess (The Princess Diaries, #10)","Meg Cabot"
"5666","The Fortress","Me�a Selimovi?"
"5667","Mister Monday (The Keys to the Kingdom, #1)","Garth Nix"
"5668","The Healer's Apprentice (Hagenheim, #1)","Melanie Dickerson"
"5669","Point Blank (Alex Rider, #2)","Anthony Horowitz"
"5670","System Change (System Universe #1)","SunriseCV"
"5671","Sahara (Dirk Pitt, #11)","Clive Cussler"
"5672","The Last Coyote (Harry Bosch, #4)","Michael Connelly"
"5673","Wilder Girls","Rory Power"
"5674","A Long Way Down","Nick Hornby"
"5675","Tom's Midnight Garden","Philippa Pearce"
"5676","Seizure (Virals, #2)","Kathy Reichs"
"5677","The Woman Who Walked Into Doors (Paula Spencer, #1)","Roddy Doyle"
"5678","Welcome to Night Vale (Welcome to Night Vale, #1)","Joseph Fink"
"5679","The Lesbiana's Guide to Catholic School","Sonora Reyes"
"5680","Quantum Radio","A.G. Riddle"
"5681","The Man with the Golden Arm","Nelson Algren"
"5682","Black Spring","Henry Miller"
"5683","Czas pogardy (Saga o Wied?minie, #2)","Andrzej Sapkowski"
"5684","A Girl of the Limberlost (Limberlost, #2)","Gene Stratton-Porter"
"5685","King Solomon's Mines (Allan Quatermain, #1)","H. Rider Haggard"
"5686","Goddess (Starcrossed, #3)","Josephine Angelini"
"5687","This Is Your Brain on Music","Daniel J. Levitin"
"5688","Whirlwind (Asian Saga, #6)","James Clavell"
"5689","Thin Air (Jessica Shaw, #1)","Lisa    Gray"
"5690","BEHIND CLOSED DOORS: A Daughter's Story","Daniella Dechristopher"
"5691","The Wolves in the Walls","Neil Gaiman"
"5692","All-American Girl (All-American Girl, #1)","Meg Cabot"
"5693","The Heretic Queen","Michelle    Moran"
"5694","A Curse Dark as Gold","Elizabeth C. Bunce"
"5695","Vision in White (Bride Quartet, #1)","Nora Roberts"
"5696","Princess of Glass (The Princesses of Westfalin Trilogy, #2)","Jessica Day George"
"5697","Dark Secrets 1 (Dark Secrets, #1-2)","Elizabeth Chandler"
"5698","Contempt","Alberto Moravia"
"5699","The Price of Salt, or Carol","Patricia Highsmith"
"5700","In the Skin of a Lion","Michael Ondaatje"
"5701","Drowning Ruth","Christina Schwarz"
"5702","Sword Song (The Saxon Stories, #4)","Bernard Cornwell"
"5703","Peer-e-Kamil/??? ????","Umera Ahmed"
"5704","August: Osage County","Tracy Letts"
"5705","Airman","Eoin Colfer"
"5706","A Closed and Common Orbit (Wayfarers, #2)","Becky  Chambers"
"5707","The Red Scrolls of Magic (The Eldest Curses, #1)","Cassandra Clare"
"5708","Tippy the Knight","Julie Mannino"
"5709","Nice Girls Don't Have Fangs (Jane Jameson, #1)","Molly Harper"
"5710","Ransom (Highlands' Lairds, #2)","Julie Garwood"
"5711","Spider's Bite (Elemental Assassin, #1)","Jennifer Estep"
"5712","The Strange Library","Haruki Murakami"
"5713","A Dog's Life: Autobiography of a Stray","Ann M. Martin"
"5714","From the Corner of His Eye","Dean Koontz"
"5715","Mockingbird","Kathryn Erskine"
"5716","Hidden (Firelight, #3)","Sophie Jordan"
"5717","Stumbling on Happiness","Daniel Todd Gilbert"
"5718","The Girls I've Been","Tess Sharpe"
"5719","Arctic Storm Rising (Nick Flynn #1)","Dale Brown"
"5720","All My Knotted-Up Life: A Memoir","Beth Moore"
"5721","Why They Marched: Untold Stories of the Women Who Fought for the Right to Vote","Susan Ware"
"5722","Out of Bounds (Inspector Karen Pirie, #4)","Val McDermid"
"5723","Salem Falls","Jodi Picoult"
"5724","Fox in Socks","Dr. Seuss"
"5725","Pleasure of a Dark Prince (Immortals After Dark, #8)","Kresley Cole"
"5726","The Mother-Daughter Book Club","Heather Vogel Frederick"
"5727","The Keepsake (Rizzoli & Isles, #7)","Tess Gerritsen"
"5728","Time Regained","Marcel Proust"
"5729","1Q84 (1Q84, #3)","Haruki Murakami"
"5730","Ashes (Ashes Trilogy, #1)","Ilsa J. Bick"
"5731","Sustainable & Responsible Investing 360�: Lessons Learned from World Class Investors","R. Scott Arnell"
"5732","Law Man (Dream Man, #3)","Kristen Ashley"
"5733","The Rats (Rats, #1)","James Herbert"
"5734","Cat on a Hot Tin Roof","Tennessee Williams"
"5735","Beneath the Wheel","Hermann Hesse"
"5736","The Dinner","Herman Koch"
"5737","A Magic Steeped in Poison (The Book of Tea, #1)","Judy I. Lin"
"5738","Blood Canticle (The Vampire Chronicles, #10)","Anne Rice"
"5739","Hop On Pop","Dr. Seuss"
"5740","Chasm City","Alastair Reynolds"
"5741","Fever (The Chemical Garden, #2)","Lauren DeStefano"
"5742","The Invisible Bridge","Julie Orringer"
"5743","Beyond Belief: My Secret Life Inside Scientology and My Harrowing Escape","Jenna Miscavige Hill"
"5744","As Long as the Lemon Trees Grow","Zoulfa Katouh"
"5745","Kushiel's Mercy (Imriel's Trilogy, #3)","Jacqueline Carey"
"5746","Four Quartets","T.S. Eliot"
"5747","Enchanters' End Game (The Belgariad #5)","David Eddings"
"5748","Batman: Dark Victory","Jeph Loeb"
"5749","The Wings of the Dove","Henry James"
"5750","Strangers on a Train","Patricia Highsmith"
"5751","Undaunted Courage: The Pioneering First Mission to Explore America's Wild Frontier","Stephen E. Ambrose"
"5752","The Almanack of Naval Ravikant: A Guide to Wealth and Happiness","Eric Jorgenson"
"5753","Girl Missing (Kaitlyn Carr #1)","Kate Gable"
"5754","Black Sun Rising (The Coldfire Trilogy, #1)","C.S. Friedman"
"5755","Darker After Midnight (Midnight Breed, #10)","Lara Adrian"
"5756","Burn for Burn (Burn for Burn, #1)","Jenny Han"
"5757","Path of Destruction (Star Wars: Darth Bane #1)","Drew Karpyshyn"
"5758","Antes de diciembre (Meses a tu lado, #1)","Joana Marc�s"
"5759","Pelosi","Molly  Ball"
"5760","The Housekeeper and the Professor","Y?ko Ogawa"
"5761","I Too Had a Love Story","Ravinder Singh"
"5762","Mahabharata","C. Rajagopalachari"
"5763","Concrete Rose (The Hate U Give, #0)","Angie Thomas"
"5764","The Lost Man","Jane Harper"
"5765","Tress of the Emerald Sea (The Cosmere, #28)","Brandon Sanderson"
"5766","R.U.R.","Karel ?apek"
"5767","The Disappearing Spoon: And Other True Tales of Madness, Love, and the History of the World from the Periodic Table of the Elements","Sam Kean"
"5768","Ancient Blood: A Novel of the Hegemony (The Order Saga, #1)","Brian McKinley"
"5769","Predestined (Existence, #2)","Abbi Glines"
"5770","Shakespeare: The World as Stage","Bill Bryson"
"5771","Scrappy Little Nobody","Anna Kendrick"
"5772","Lord Edgware Dies (Hercule Poirot, #9)","Agatha Christie"
"5773","Daughter of the Moon Goddess (The Celestial Kingdom Duology, #1)","Sue Lynn Tan"
"5774","Here's to Us (What If It's Us, #2)","Becky Albertalli"
"5775","Player Piano","Kurt Vonnegut Jr."
"5776","The King in Yellow and Other Horror Stories","Robert W. Chambers"
"5777","The Colorado Kid","Stephen King"
"5778","The Storyteller: Tales of Life and Music","Dave Grohl"
"5779","Awaken the Giant Within: How to Take Immediate Control of Your Mental, Emotional, Physical and Financial Destiny!","Tony Robbins"
"5780","The Complete Works of H.P. Lovecraft","H.P. Lovecraft"
"5781","Der Sandmann","E.T.A. Hoffmann"
"5782","The Absolute Sandman, Volume 3","Neil Gaiman"
"5783","Princess in the Spotlight (The Princess Diaries, #2)","Meg Cabot"
"5784","Claudius the God and His Wife Messalina (Claudius, #2)","Robert Graves"
"5785","Anybody Out There? (Walsh Family, #4)","Marian Keyes"
"5786","Whispers of the Dead (David Hunter, #3)","Simon Beckett"
"5787","Mistress of Rome (The Empress of Rome, #1)","Kate Quinn"
"5788","Extraordinary Means","Robyn Schneider"
"5789","As Sure as the Dawn (Mark of the Lion, #3)","Francine Rivers"
"5790","Ilium (Ilium, #1)","Dan Simmons"
"5791","First Blood","David Morrell"
"5792","The Warlock (The Secrets of the Immortal Nicholas Flamel, #5)","Michael Scott"
"5793","The Marriage Plot","Jeffrey Eugenides"
"5794","From Here to Eternity","James  Jones"
"5795","A Long Walk to Water","Linda Sue Park"
"5796","The Narrow Road to the Deep North","Richard Flanagan"
"5798","Amazonia","James Rollins"
"5799","The Ruins","Scott        Smith"
"5800","Monday's Not Coming","Tiffany D. Jackson"
"5801","The Hive","Gregg Olsen"
"5802","Memories of Midnight","Sidney Sheldon"
"5803","The Winter's Tale","William Shakespeare"
"5804","Poseidon�s Children (The Legacy of the Gods, #1)","Michael  West"
"5805","The Unknown Soldier","V�in� Linna"
"5806","Pirates!","Celia Rees"
"5807","A Lover's Discourse: Fragments","Roland Barthes"
"5808","The Hobbit, Part One","J.R.R. Tolkien"
"5809","The Thing About Jellyfish","Ali Benjamin"
"5810","Dad Is Fat","Jim Gaffigan"
"5811","Shatter Me (Shatter Me, #1)","Tahereh Mafi"
"5812","Water Music","T. Coraghessan Boyle"
"5813","Tiny Beautiful Things: Advice on Love and Life from Dear Sugar","Cheryl Strayed"
"5814","Ruin (Ruin, #1)","Rachel Van Dyken"
"5815","A Night Divided","Jennifer A. Nielsen"
"5816","Archangel (Samaria, #1)","Sharon Shinn"
"5817","The Water Is Wide","Pat Conroy"
"5818","Message From Nam","Danielle Steel"
"5819","The Death of Mrs. Westaway","Ruth Ware"
"5820","Midnight Obsession (Midnight, #4)","Melinda Leigh"
"5821","Klara and the Sun","Kazuo Ishiguro"
"5822","Dhalgren","Samuel R. Delany"
"5823","The Peach Keeper","Sarah Addison Allen"
"5824","It Ain't Me, Babe (Hades Hangmen, #1)","Tillie Cole"
"5825","Where the Forest Meets the Stars","Glendy Vanderah"
"5826","My Lovely Wife","Samantha  Downing"
"5827","Father Mine (Black Dagger Brotherhood, #6.5)","J.R. Ward"
"5828","South of Broad","Pat Conroy"
"5829","Beauty from Pain (Beauty, #1)","Georgia Cates"
"5830","Daughter of the Empire (The Empire Trilogy, #1)","Raymond E. Feist"
"5831","Sword in the Storm (The Rigante, #1)","David Gemmell"
"5832","The Waking (Ruin, #1)","Lucian Bane"
"5833","The Empty Grave (Lockwood & Co., #5)","Jonathan Stroud"
"5834","Tales of a Fourth Grade Nothing (Fudge, #1)","Judy Blume"
"5835","Sadako and the Thousand Paper Cranes","Eleanor Coerr"
"5836","Lilac Girls (Lilac Girls, #1)","Martha Hall Kelly"
"5837","This Is How It Always Is","Laurie Frankel"
"5838","Misty of Chincoteague (Misty, #1)","Marguerite Henry"
"5839","The Flanders Panel","Arturo P�rez-Reverte"
"5840","A Shepherd Looks at Psalm 23","W. Phillip Keller"
"5841","A Rose in Winter","Kathleen E. Woodiwiss"
"5842","Vengeance in Death (In Death, #6)","J.D. Robb"
"5843","The Fionavar Tapestry (The Fionavar Tapestry, #1-3)","Guy Gavriel Kay"
"5844","Brothers in Arms (Vorkosigan Saga, #5)","Lois McMaster Bujold"
"5845","Night in the Lonesome October","Richard Laymon"
"5846","Dark Inside (Dark Inside, #1)","Jeyn Roberts"
"5847","The Perfect Game (The Perfect Game, #1)","J. Sterling"
"5848","Kiss of the Night (Dark-Hunter, #4)","Sherrilyn Kenyon"
"5849","The Do-Over","Lynn Painter"
"5850","Measure for Measure","William Shakespeare"
"5851","Eagle Strike (Alex Rider, #4)","Anthony Horowitz"
"5852","The Story of the Lost Child (The Neapolitan Novels, #4)","Elena Ferrante"
"5853","I Am Not Your Perfect Mexican Daughter","Erika L. S�nchez"
"5854","The Time in Between","Mar�a Due�as"
"5855","A Touch of Innocence (Touch #1)","Julie Mannino"
"5856","Triple Deception (Remmich/Miller, #4)","Karl Braungart"
"5857","Speak, Memory","Vladimir Nabokov"
"5858","The Door Within (The Door Within, #1)","Wayne Thomas Batson"
"5859","The Brethren","John Grisham"
"5860","The Recognitions","William Gaddis"
"5861","The History of Joseph Smith by His Mother","Lucy Mack Smith"
"5862","No Great Mischief","Alistair MacLeod"
"5863","Fall of Kings (Troy, #3)","David Gemmell"
"5864","The Book of the New Sun","Gene Wolfe"
"5865","Perfect Timing (Kendrick/Coulter/Harrigan, #11)","Catherine Anderson"
"5866","Shit my History Teacher DID NOT tell me!","Karl Wiggins"
"5867","The Hive Queen (Wings of Fire, #12)","Tui T. Sutherland"
"5869","Into the Forest","Jean Hegland"
"5870","The Stupidest Angel: A Heartwarming Tale of Christmas Terror (Pine Cove, #3)","Christopher Moore"
"5871","Endless (The Violet Eden Chapters, #4)","Jessica Shirvington"
"5872","Magic Rises (Kate Daniels, #6)","Ilona Andrews"
"5873","Talon (Talon, #1)","Julie Kagawa"
"5874","Binti (Binti, #1)","Nnedi Okorafor"
"5875","The Problem of Pain","C.S. Lewis"
"5876","Burn for Me (Hidden Legacy, #1)","Ilona Andrews"
"5877","The Road to Little Dribbling: Adventures of an American in Britain","Bill Bryson"
"5878","Three Junes","Julia Glass"
"5879","The Happiness Project","Gretchen Rubin"
"5880","???? ??? ????","Ghassan Kanafani"
"5881","Heaven Has No Favorites","Erich Maria Remarque"
"5882","Sister","Rosamund Lupton"
"5883","Platform","Michel Houellebecq"
"5884","The Touch: A Supernatural Story (The Touch, #1)","Robert Flynn III"
"5885","Train Dreams","Denis Johnson"
"5886","Tower of Dawn (Throne of Glass, #6)","Sarah J. Maas"
"5887","Magic's Price (The Last Herald-Mage #3)","Mercedes Lackey"
"5888","Bone, Vol. 1: Out from Boneville (Bone, #1)","Jeff Smith"
"5889","The Unabridged Journals of Sylvia Plath","Sylvia Plath"
"5890","Still Life","Joe Donnelly"
"5891","Perfect (Impulse, #2)","Ellen Hopkins"
"5892","Brief Interviews with Hideous Men","David Foster Wallace"
"5893","The Dark Forest (Remembrance of Earth�s Past, #2)","Liu Cixin"
"5894","You Are a Badass: How to Stop Doubting Your Greatness and Start Living an Awesome Life","Jen Sincero"
"5895","A Shadow in the Ember (Flesh and Fire, #1)","Jennifer L. Armentrout"
"5896","The Seventh Scroll (Ancient Egypt, #2)","Wilbur Smith"
"5897","Heat Wave (Nikki Heat, #1)","Richard Castle"
"5898","The Bourne Ultimatum (Jason Bourne, #3)","Robert Ludlum"
"5899","The Staff of Serapis (Demigods & Magicians, #2)","Rick Riordan"
"5900","Rash?mon and Seventeen Other Stories","Ry?nosuke Akutagawa"
"5901","The Lusiads","Lu�s de Cam�es"
"5902","Clown Girl","Monica Drake"
"5903","Maus I: A Survivor's Tale: My Father Bleeds History (Maus, #1)","Art Spiegelman"
"5904","Heartstopper: Volume Five (Heartstopper, #5)","Alice Oseman"
"5905","The Taking","Dean Koontz"
"5906","Twice Tempted (Night Prince, #2)","Jeaniene Frost"
"5907","Going Clear: Scientology, Hollywood, and the Prison of Belief","Lawrence Wright"
"5908","Dos velas para el diablo","Laura Gallego"
"5909","The Melancholy Death of Oyster Boy and Other Stories","Tim Burton"
"5910","This Time It's Real","Ann Liang"
"5911","Ethics","Baruch Spinoza"
"5912","A Kingdom of Dreams (Westmoreland, #1)","Judith McNaught"
"5913","Creation","Gore Vidal"
"5914","The House of Sleep","Jonathan Coe"
"5915","Wiseguy","Nicholas Pileggi"
"5916","Gateway (Heechee Saga, #1)","Frederik Pohl"
"5917","Red Russia","Tanya Thompson"
"5918","City of the Beasts (Eagle and Jaguar, #1)","Isabel Allende"
"5919","Perfect (Pretty Little Liars, #3)","Sara Shepard"
"5920","No One Belongs Here More Than You","Miranda July"
"5921","Restart","Gordon Korman"
"5922","Kim","Rudyard Kipling"
"5923","Suicide Notes","Michael Thomas Ford"
"5924","Freedom� (Daemon, #2)","Daniel Suarez"
"5925","Spy Glass (Glass, #3)","Maria V. Snyder"
"5926","Ask and It Is Given: Learning to Manifest Your Desires","Esther Hicks"
"5927","The Tied Man (The Tied Man, #1)","Tabitha McGowan"
"5928","Teardrop (Teardrop, #1)","Lauren Kate"
"5929","Escaping Destiny (The Fae Chronicles, #3)","Amelia Hutchins"
"5930","Every Man Dies Alone","Hans Fallada"
"5931","The Heart of Betrayal (The Remnant Chronicles, #2)","Mary E. Pearson"
"5932","Death du Jour (Temperance Brennan, #2)","Kathy Reichs"
"5933","Shibumi","Trevanian"
"5934","The Cave","Jos� Saramago"
"5935","The Good Soldier","Ford Madox Ford"
"5936","Scent of Magic (Healer, #2)","Maria V. Snyder"
"5937","Love, Aubrey","Suzanne LaFleur"
"5938","The Fourth Monkey (4MK Thriller, #1)","J.D. Barker"
"5939","Resistance","Jennifer A. Nielsen"
"5940","Little Women","Louisa May Alcott"
"5941","Edge of Eternity (The Century Trilogy, #3)","Ken Follett"
"5942","The War I Finally Won (The War That Saved My Life, #2)","Kimberly Brubaker Bradley"
"5943","So B. It (So B. It, #1)","Sarah Weeks"
"5944","God-Shaped Hole","Tiffanie DeBartolo"
"5945","The Ones Who Walk Away from Omelas","Ursula K. Le Guin"
"5946","The Problem with Forever","Jennifer L. Armentrout"
"5947","The White Hotel","D.M. Thomas"
"5948","Unbelievable (Pretty Little Liars, #4)","Sara Shepard"
"5949","The Hummingbird's Daughter","Luis Alberto Urrea"
"5950","Truly Madly Guilty","Liane Moriarty"
"5951","Fire and Fury: Inside the Trump White House","Michael  Wolff"
"5952","Swami and Friends","R.K. Narayan"
"5953","The Capture (Guardians of Ga'Hoole, #1)","Kathryn Lasky"
"5954","The Comfort of Strangers","Ian McEwan"
"5955","The Biographies of Jesus' Apostles: Ambassadors in Chains","James Allen Moseley"
"5956","Call It Sleep","Henry Roth"
"5957","Shadow of the Giant (The Shadow Series, #4)","Orson Scott Card"
"5958","Wanted (Pretty Little Liars, #8)","Sara Shepard"
"5959","The Left Hand of God (The Left Hand of God, #1)","Paul  Hoffman"
"5960","The Last Guardian (Artemis Fowl, #8)","Eoin Colfer"
"5961","The Scar (New Crobuzon, #2)","China Mi�ville"
"5962","Dictionary of the Khazars","Milorad Pavi?"
"5963","Escape from Mr. Lemoncello's Library (Mr. Lemoncello's Library, #1)","Chris Grabenstein"
"5964","War's Unwomanly Face","Svetlana Alexievich"
"5965","The Grey Wolf","Julie Mannino"
"5966","Darkness Becomes Her (Gods & Monsters, #1)","Kelly Keaton"
"5967","Men We Reaped","Jesmyn Ward"
"5968","Broken (Will Trent, #4)","Karin Slaughter"
"5969","The Binding","Bridget Collins"
"5970","Wake (Watersong, #1)","Amanda Hocking"
"5971","Breathe (Colorado Mountain, #4)","Kristen Ashley"
"5973","A Very Large Expanse of Sea","Tahereh Mafi"
"5974","In the Clearing (Tracy Crosswhite, #3)","Robert Dugoni"
"5975","The Unconsoled","Kazuo Ishiguro"
"5976","Le Grand Meaulnes","Alain-Fournier"
"5977","Pines (Wayward Pines, #1)","Blake Crouch"
"5978","All the Missing Girls","Megan Miranda"
"5979","Winterdance: The Fine Madness of Running the Iditarod","Gary Paulsen"
"5980","Pay It Forward","Catherine Ryan Hyde"
"5981","??? ?????? ?? 200 ???","???? ?????"
"5982","In the Shadow of Young Girls in Flower","Marcel Proust"
"5983","Dark Desires After Dusk (Immortals After Dark, #5)","Kresley Cole"
"5984","Stupeur et tremblements","Am�lie Nothomb"
"5985","Bloodmarked (Legendborn, #2)","Tracy Deonn"
"5986","The Private Memoirs and Confessions of a Justified Sinner","James Hogg"
"5987","Shane","Jack Schaefer"
"5988","The Heroin Diaries: A Year in the Life of a Shattered Rock Star","Nikki Sixx"
"5989","Fire & Flood (Fire & Flood, #1)","Victoria Scott"
"5990","Loki: Where Mischief Lies","Mackenzi Lee"
"5991","Women, Race & Class","Angela Y. Davis"
"5992","Dark Age (Red Rising Saga, #5)","Pierce Brown"
"5993","The Chronology of Water","Lidia Yuknavitch"
"5994","American Born Chinese","Gene Luen Yang"
"5995","Blue is for Nightmares (Blue is for Nightmares, #1)","Laurie Faria Stolarz"
"5996","Seduced by Moonlight (Merry Gentry, #3)","Laurell K. Hamilton"
